Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
India_BCS/pa_irv_mat_book	2023-09-19T17:18:08.123Z	50	en		0	en		0	en			2020-01-16T11:49:58.095Z	2.0.0	7			
India_BCS/pa_irv_mrk_book	2023-09-19T17:18:08.123Z	53	en		0	en		0	en			2020-01-15T10:24:44.340Z	2.0.0	7			
India_BCS/pa_irv_tit_book	2023-09-19T17:18:08.123Z	100	en		0			0				2020-01-03T11:21:05.652Z	2.0.0	7			
klappy-test/pa_eph_text_reg		0			0			0									
Ludhiana/pa_eph_text_reg		0			0			0									
Ludhiana/pa_tit_text_reg		0			0			0									
pjoakes/pa_eph_text_reg		0			0			0									
pjoakes/pa_tit_text_reg		0			0			0									
qa98/pa_phm_text_reg		0			0			0									
russp41/pa_eph_text_reg		0			44			94									
shojojohn/pa_irv_1jn_book	2022-01-10T14:37:20.312Z	18			0			0				2019-09-11T05:59:26.490Z	1.1.4	7			
shojojohn/pa_irv_1pe_book	2022-01-10T14:37:20.312Z	52			0			0				2019-09-11T05:55:11.519Z	1.1.4	7			
shojojohn/pa_irv_1th_book	2022-01-10T14:37:20.312Z	47			0			0				2019-09-11T05:49:47.351Z	1.1.4	7			
shojojohn/pa_irv_1ti_book	2022-01-10T14:37:20.312Z	53			0			0				2019-09-11T05:51:42.978Z	1.1.4	7			
shojojohn/pa_irv_2co_book	2022-01-10T14:37:20.312Z	45			0			0				2019-09-11T05:45:45.057Z	1.1.4	7			
shojojohn/pa_irv_2jn_book	2022-01-10T14:37:20.312Z	7			0			0				2019-09-11T06:01:14.273Z	1.1.4	7			
shojojohn/pa_irv_2pe_book	2022-01-10T14:37:20.312Z	25			0			0				2019-09-11T05:57:45.907Z	1.1.4	7			
shojojohn/pa_irv_2th_book	2022-01-10T14:37:20.312Z	32			0			0				2019-09-11T05:50:31.779Z	1.1.4	7			
shojojohn/pa_irv_2ti_book	2022-01-10T14:37:20.312Z	61			0			0				2019-09-11T05:52:37.109Z	1.1.4	7			
shojojohn/pa_irv_3jn_book	2022-01-10T14:37:20.312Z	13			0			0				2019-09-11T06:02:11.394Z	1.1.4	7			
shojojohn/pa_irv_act_book	2022-01-10T14:37:20.312Z	16			0			0				2019-09-11T05:43:18.783Z	1.1.4	7			
shojojohn/pa_irv_col_book	2022-01-10T14:37:20.312Z	37			0			0				2019-09-11T05:49:02.088Z	1.1.4	7			
shojojohn/pa_irv_eph_book	2022-01-10T14:37:20.312Z	44			0			0				2019-09-11T05:47:27.721Z	1.1.4	7			
shojojohn/pa_irv_gal_book	2022-01-10T14:37:20.312Z	46			0			0				2019-09-11T05:46:33.951Z	1.1.4	7			
shojojohn/pa_irv_heb_book	2022-01-10T14:37:20.312Z	36			0			0				2019-09-11T05:53:25.573Z	1.1.4	7			
shojojohn/pa_irv_jas_book	2022-01-10T14:37:20.312Z	0			0			0				2019-09-11T05:54:22.079Z	1.1.4	7			
shojojohn/pa_irv_jhn_book	2022-01-10T14:37:20.312Z	74			0			0				2019-08-23T06:53:37.295Z	1.1.4	7			
shojojohn/pa_irv_jud_book	2022-01-10T14:37:20.312Z	31			0			0				2019-09-11T06:03:06.879Z	1.1.4	7			
shojojohn/pa_irv_luk_book	2022-01-10T14:37:20.312Z	98			0			0				2019-08-23T06:37:31.635Z	1.1.4	7			
shojojohn/pa_irv_mat_book	2022-01-10T14:37:20.312Z	99			0			0				2019-04-16T04:19:00.570Z		7			
