Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
biljananikolic/rmy-x-vc_exo_text_reg		0			0			0									
biljananikolic/rmy-x-vc_gen_text_reg		0			0			0									
biljananikolic/rmy-x-vc_lev_text_reg		0			0			0									
biljananikolic/rmy-x-vc_mrk_text_reg		0			0			0									
biljananikolic/rmy-x-vc_ulb_mat_book		0			0			0									
chrisjarka/rmy-x-vc_mrk_text_reg		0			0			0									
qa99/rmy-x-vc_mrk_text_reg		0			0			0									
rmy-x-vg/rmy-x-vc_mrk_text_reg		0			0			0									
tc03/rmy-x-vc_mrk_text_reg		0			0			0									
toddlprice/rmy-x-vc_exo_text_reg		0			0			0									
toddlprice/rmy-x-vc_gen_text_reg		0			0			0									
toddlprice/rmy-x-vc_mrk_text_reg		0			0			0									
toddlprice/rmy-x-vc_reg_mrk_book		0			0			0									
toddlprice/rmy-x-vc_ulb_jhn_book																Empty Repo: toddlprice/rmy-x-vc_ulb_jhn_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/toddlprice/rmy-x-vc_ulb_jhn_book/archive/master.zip: Download did not succeed, code 404	
