Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
biljananikolic/rmy-x-vg_mrk_text_reg		0			0			0									
joy-rbtt/rmy-x-vg_exo_text_reg		0			0			0									
joy-rbtt/rmy-x-vg_lev_text_reg		0			0			0									
romastandarddemo/rmy-x-vg_exo_text_reg		0			0			0									
romastandarddemo/rmy-x-vg_lev_text_reg		0			0			0									
romastandarddemo/rmy-x-vg_num_text_reg		0			0			0									
romastandarddemo/rmy-x-vg_ulb_mat_book		0			0			0									
toddlprice/rmy-x-vg_exo_text_reg		0			0			0									
toddlprice/rmy-x-vg_lev_text_reg		0			0			0									
toddlprice/rmy-x-vg_mrk_text_reg		0			4			0									
toddlprice/rmy-x-vg_num_text_reg		0			0			0									
toddlprice/rmy-x-vg_ulb_jas_book		0			0			0				2023-05-11T16:25:19.655Z		8			
