Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
rmy-x-vwa/rmy-x-vwa_1th_text_reg		0			0			0									
rmy-x-vwa/rmy-x-vwa_heb_text_reg		0			0			0									
rmy-x-vwsa/rmy-x-vwa_1jn_text_reg		0			0			0									
rmy-x-vwsa/rmy-x-vwa_1pe_text_reg		0			0			0									
rmy-x-vwsa/rmy-x-vwa_2jn_text_reg		0			0			0									
rmy-x-vwsa/rmy-x-vwa_3jn_text_reg		0			0			0									
rmy-x-vwsa/rmy-x-vwa_gen_text_reg		0			0			0									
rmy-x-vwsa/rmy-x-vwa_heb_text_reg		0			0			0									
rmy-x-vwsa/rmy-x-vwa_jas_text_reg		0			0			0									
rmy-x-vwsa/rmy-x-vwa_jud_text_reg		0			0			0									
rmy-x-vwsa/rmy-x-vwa_mat_text_reg		0			0			0									
rmy-x-vwsa/rmy-x-vwa_rev_text_reg		0			0			0									
sasabakic/rmy-x-vwa_act_text_reg		0			0			0									
sasabakic/rmy-x-vwa_luk_text_reg		0			0			0									
sasabakic/rmy-x-vwa_reg_act_book		0			0			0									
TC_SAVE/rmy-x-vwa_mat_text_reg		0			0			0									
toddlprice/rmy-x-vwa_1jn_text_reg		0			0			0									
toddlprice/rmy-x-vwa_1pe_text_reg		0			0			0									
toddlprice/rmy-x-vwa_1th_text_reg		0			0			0									
toddlprice/rmy-x-vwa_1ti_text_reg		0			0			0									
toddlprice/rmy-x-vwa_2jn_text_reg		0			0			0									
toddlprice/rmy-x-vwa_2pe_text_reg		0			0			0									
toddlprice/rmy-x-vwa_2th_text_reg		0			0			0									
toddlprice/rmy-x-vwa_2ti_text_reg		0			0			0									
toddlprice/rmy-x-vwa_3jn_text_reg		0			0			0									
toddlprice/rmy-x-vwa_act_text_reg		0			0			0									
toddlprice/rmy-x-vwa_gen_text_reg		0			0			0									
toddlprice/rmy-x-vwa_heb_text_reg		0			0			0									
toddlprice/rmy-x-vwa_jas_text_reg		0			0			0									
toddlprice/rmy-x-vwa_jhn_text_reg		0			0			0									
toddlprice/rmy-x-vwa_jud_text_reg		0			0			0									
toddlprice/rmy-x-vwa_luk_text_reg		0			0			0									
toddlprice/rmy-x-vwa_mat_text_reg		0			0			0									
toddlprice/rmy-x-vwa_mrk_text_reg		0			0			0									
toddlprice/rmy-x-vwa_phm_text_reg		0			0			0									
toddlprice/rmy-x-vwa_rev_text_reg		0			0			0									
toddlprice/rmy-x-vwa_tit_text_reg		0			0			0									
