Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
aleksey.ignashin/ru_rob_2jn_book	2021-12-22T12:50:20.216Z	100			1			0				2019-05-14T12:40:11.836Z		7			
aleksey.ignashin/ru_rsb_tit_book	2021-12-22T12:50:20.216Z	100			0			0				2019-05-14T11:16:01.796Z		7			
Anatolii/ru_reg_jhn_book	2021-12-22T12:50:20.216Z	100	en		0	en		0	en			2019-08-30T13:01:42.559Z	2.0.0	7			
Anatolii/ru_rob_2jn_book	2021-12-22T12:50:20.216Z	69			6			0				2019-05-14T12:40:11.836Z		7			
Anatolii/ru_rsb_2jn_book	2021-12-22T12:50:20.216Z	85			4			0				2019-05-14T12:30:28.225Z		7			
Anatolii/ru_rsb_tit_book	2021-12-22T12:50:20.216Z	100			0			0				2019-05-14T11:16:01.796Z		7			
Anatolii/ru_ulb_mat_book	2021-12-22T12:50:20.216Z	100	en		0	en		0	en			2019-10-14T10:30:08.219Z	2.0.0	7			
Anna/ru_rlb_phm_book	2021-12-22T12:50:20.216Z	100			0			0				2019-05-15T10:45:42.866Z		7			
Anna/ru_rob_2jn_book	2021-12-22T12:50:20.216Z	100			1			0				2019-05-14T12:40:11.836Z		7			
Anna/ru_rob_jon_book	2021-12-22T12:50:20.216Z	6	en		0	en		0	en			2020-01-30T14:19:45.926Z	2.0.0	7			
Anna/ru_rob_phm_book	2021-12-22T12:50:20.216Z	100			0			0				2019-05-14T12:40:35.259Z		7			
Anna/ru_rob_tit_book	2021-12-22T12:50:20.216Z	100			0			0				2019-05-14T12:20:23.897Z		7			
Anna/ru_rsb_2jn_book	2021-12-22T12:50:20.216Z	100			0			0				2019-05-14T12:30:28.225Z		7			
Anna/ru_rsb_phm_book	2021-12-22T12:50:20.216Z	100			0			0				2019-05-15T03:59:17.869Z		7			
Anna/ru_rsb_tit_book	2021-12-22T12:50:20.216Z	100			0			0				2019-05-14T11:16:01.796Z		7			
