Reference	Localized Group	Message	Selections	
figs-123person_1_20__1	First, Second or Third Person	unable to migrate selection, there are 2 similar checks	его царству-1	
figs-abstractnouns_8_6__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	гибель-1	
figs-activepassive_2_2__1	Active or Passive	unable to migrate selection, no match found for check in new resources	Пусть поищут-1	
figs-activepassive_8_13__1	Active or Passive	unable to migrate selection, there are 2 similar checks	объявляемый для всех народов-1	
figs-doublenegatives_3_8__1	Double Negatives	unable to migrate selection, no match found for check in new resources	и царю не подобает их так оставлять-1	
figs-doublet_6_3__1	Doublet	unable to migrate selection, no match found for check in new resources	Какие честь и величие были сделаны Мардохею-1	
figs-doublet_8_16__1	Doublet	unable to migrate selection, there are 2 similar checks	и веселье, и честь-1	
figs-explicit_9_31__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	и как они установили для себя и для своего семени: относительно поста и плача-1	
figs-idiom_9_1__1	Idiom	unable to migrate selection, there are 2 similar checks	сами-1 ненавидящими их-1	
figs-informremind_10_3__1	figs-informremind	unable to migrate selection, no match found for check in new resources	иудей-1	
figs-informremind_2_15__1	figs-informremind	unable to migrate selection, no match found for check in new resources	дочери Абихаила, дяди Мардохея, который взял её к себе как дочь-1	
figs-informremind_2_15__1	figs-informremind	unable to migrate selection, no match found for check in new resources	евнух царя, смотритель женщин-1	
figs-informremind_3_10__1	figs-informremind	unable to migrate selection, no match found for check in new resources	врагу иудеев-1	
figs-informremind_5_13__1	figs-informremind	unable to migrate selection, no match found for check in new resources	этого иудея-1	
figs-informremind_8_1__1	figs-informremind	unable to migrate selection, no match found for check in new resources	врага иудеев-1	
figs-informremind_9_10__1	figs-informremind	unable to migrate selection, no match found for check in new resources	врага иудеев-1	
figs-informremind_9_24__1	figs-informremind	unable to migrate selection, no match found for check in new resources	враг всех иудеев-1	
figs-informremind_9_29__1	figs-informremind	unable to migrate selection, no match found for check in new resources	дочь Абихаила-1	
figs-informremind_9_31__1	figs-informremind	unable to migrate selection, no match found for check in new resources	иудей-1	
figs-metaphor_10_2__1	Metaphor	unable to migrate selection, no match found for check in new resources	и полное описание-1	
figs-metonymy_9_13__1	Metonymy	unable to migrate selection, no match found for check in new resources	дереве-1	
figs-parallelism_8_5__1	Parallelism	unable to migrate selection, there are 2 similar checks	и если я нашла расположение перед ним-1 и я приятна в его глазах-1	
figs-synecdoche_3_2__1	Synecdoche	unable to migrate selection, no match found for check in new resources	И все слуги царя, которые у ворот царя-1	
grammar-connect-logic-contrast_2_15__1	Connect – Contrast Relationship	2 duplicate migrations		
grammar-connect-time-sequential_2_8__1	Connect – Sequential Time Relationship	unable to migrate selection, no match found for check in new resources	И было-1	
translate-symaction_4_16__1	Symbolic Action	2 duplicate migrations		
writing-background_6_4__1	Background Information	unable to migrate selection, no match found for check in new resources	А Аман пришёл во внешний двор дома царя, чтобы сказать царю, чтобы повесили Мардохея на дереве, которое он приготовил для него-1	
