Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
lversaw/sw_jud_text_reg		0			0			0									
pammi2/sw_rom_text_reg		0			0			0									
pammi22/sw_rom_text_reg		0			0			0									
richmahn/sw_ulb_job_book		0			0			0									
romantts2/sw_deu_text_reg		0			0			0									
romantts2/sw_gen_text_reg		0			0			0									
romantts2/sw_isa_text_reg		0			0			0									
sharkgates/sw_jol_text_reg		0			0			0									
tc01/sw_ulb_tit_book		0			0			0				2018-04-18T21:46:44.431Z		1			
tc1.1.4/sw_ulb_luk_book		0			0			0				2019-04-30T15:58:10.252Z		7			
Thomas/sw_phm_text_reg		0			0			0									
TimothyOdhiambo/sw_mrk_text_reg		0			0			0									
