Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
BCS_India/ta_irv_1jn_book	2021-12-22T12:50:20.216Z	100	en	v0.13	0			0				2020-11-10T09:22:23.025Z	3.0.0	7			
BCS_India/ta_irv_2co_book	2021-12-22T12:50:20.216Z	100	en	v0.13	0			0				2020-11-10T10:12:01.822Z	3.0.0	7			
BCS_India/ta_irv_2jn_book	2021-12-22T12:50:20.216Z	100	en	v0.13	0			0				2020-11-10T04:12:32.763Z	3.0.0	7			
BCS_India/ta_irv_2pe_book	2021-12-22T12:50:20.216Z	100	en	v0.13	0			0				2020-11-11T05:18:27.984Z	3.0.0	7			
BCS_India/ta_irv_2th_book	2021-12-22T12:50:20.216Z	100	en	v0.13	0			0				2020-11-09T11:06:48.494Z	3.0.0	7			
BCS_India/ta_irv_2ti_book	2021-12-22T12:50:20.216Z	100	en	v0.13	0			0				2020-11-09T09:56:10.790Z	3.0.0	7			
BCS_India/ta_irv_3jn_book	2021-12-22T12:50:20.216Z	100	en	v0.13	0			0				2020-11-09T09:44:10.373Z	3.0.0	7			
BCS_India/ta_irv_col_book	2021-12-22T12:50:20.216Z	100	en	v0.13	0			0				2020-11-11T08:44:48.905Z	3.0.0	7			
BCS_India/ta_irv_eph_book	2021-12-22T12:50:20.216Z	100	en	v0.13	0			0				2020-11-10T04:20:29.157Z	3.0.0	7			
BCS_India/ta_irv_gal_book	2021-12-22T12:50:20.216Z	100	en	v0.13	0			0				2020-11-10T06:16:59.619Z	3.0.0	7			
BCS_India/ta_irv_jas_book	2021-12-22T12:50:20.216Z	100	en	v0.13	0			0				2020-11-09T08:42:43.826Z	3.0.0	7			
BCS_India/ta_irv_phm_book	2021-12-22T12:50:20.216Z	100	en	v0.13	0			0				2020-11-11T06:04:30.311Z	3.0.0	7			
BCS_India/ta_irv_php_book	2021-12-22T12:50:20.216Z	100	en	v0.13	0			0				2020-11-10T08:38:45.851Z	3.0.0	7			
BCS_India/ta_irv_tit_book	2021-12-22T12:50:20.216Z	100	en	v0.13	0			0				2020-11-09T07:00:39.216Z	3.0.0	7			
shojojohn/ta_irv_1pe_book	2021-12-22T12:50:20.216Z	9	en		0			0				2019-12-30T10:47:16.628Z	2.1.0	7			
shojojohn/ta_irv_1th_book	2021-12-22T12:50:20.216Z	93	en		0	en		0	en			2019-11-14T09:42:37.156Z	2.0.0	7			
shojojohn/ta_irv_1ti_book	2021-12-22T12:50:20.216Z	13	en		0			0	en			2019-12-30T11:41:06.350Z	2.1.0	7			
shojojohn/ta_irv_act_book	2021-12-22T12:50:20.216Z	9	en		0	en		0	en			2019-12-30T10:57:43.432Z	2.1.0	7			
shojojohn/ta_irv_heb_book	2021-12-22T12:50:20.216Z	98	en		0	en		0	en			2019-11-15T06:18:03.257Z	2.0.0	7			
shojojohn/ta_irv_jhn_book	2021-12-22T12:50:20.216Z	99	en		0	en		0	en			2019-11-07T05:45:21.397Z	2.0.0	7			
shojojohn/ta_irv_jud_book	2021-12-22T12:50:20.216Z	100	en		0			0				2019-12-30T09:48:51.864Z	2.0.0	7			
shojojohn/ta_irv_luk_book	2021-12-22T12:50:20.216Z	99	en		0	en		0	en			2019-11-04T10:51:13.361Z	2.0.0	7			
shojojohn/ta_irv_mat_book	2021-12-22T12:50:20.216Z	99	en		0	en		0	en			2019-10-31T10:54:31.021Z	2.0.0	7			
shojojohn/ta_irv_mrk_book	2021-12-22T12:50:20.216Z	99	en		0	en		0	en			2019-11-11T10:39:06.249Z	2.0.0	7			
shojojohn/ta_irv_rev_book	2021-12-22T12:50:20.216Z	99	en		0	en		0	en			2019-11-13T11:31:17.504Z	2.0.0	7			
shojojohn/ta_irv_rom_book	2021-12-22T12:50:20.216Z	97	en		0	en		0	en			2019-11-12T10:13:37.291Z	2.0.0	7			
shojojohn/test2_ta_irv_1ti_book	2021-12-22T12:50:20.216Z	0	en		0			0				2019-12-30T11:31:02.142Z	2.1.0	7			
shojojohn/test_ta_irv_1pe_book	2021-12-22T12:50:20.216Z	0	en		0			0				2019-11-15T05:04:17.657Z	2.0.0	7			
shojojohn/test_ta_irv_1ti_book	2021-12-22T12:50:20.216Z	0	en		0			0				2019-11-14T10:37:20.108Z	2.0.0	7			
shojojohn/test_ta_irv_act_book	2021-12-22T12:50:20.216Z	0	en		0			0				2019-11-08T06:31:36.003Z	2.0.0	7			
shojojohn/test_ta_irv_jud_book	2021-12-22T12:50:20.216Z	0	en		0			0				2019-11-15T05:58:33.427Z	2.0.0	7			
