Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
Amos.Khokhar/te_gst_jhn_book		99	en	v0.30	99	en	v0.30	99	en	v65_Door43-Catalog	v0.29	2022-12-20T09:15:36.512Z	3.4.0	8			
Amos.Khokhar/te_tglt_1co_book		100		v0.30	100		v0.29	99				2023-04-04T11:01:30.388Z	3.4.0	8			
Amos.Khokhar/te_tglt_1pe_book		96	en	v0.29	100	en	v0.24	100	en	v65_Door43-Catalog	v0.29	2022-12-19T12:13:18.585Z	3.4.0	8			
Amos.Khokhar/te_tglt_jhn_book		99	en	v0.29	99	en	v0.24	90	en	v65_Door43-Catalog	v0.29	2022-12-19T12:14:29.375Z	3.4.0	8			
Amos.Khokhar/te_tgst_1co_book		99		v0.30	99		v0.30	99				2023-04-05T06:56:25.274Z	3.4.0	8			
Amos.Khokhar/te_tgst_1pe_book		98	en	v0.29	99	en	v0.29	98	en	v65_Door43-Catalog	v0.29	2022-12-20T09:26:34.548Z	3.4.0	8			
BCS_India/te_irv_1co_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-20T10:22:12.256Z	3.0.0	7			
BCS_India/te_irv_1jn_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-25T10:02:01.430Z	3.0.0	7			
BCS_India/te_irv_1pe_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-12-01T12:52:17.025Z	3.0.0	7			
BCS_India/te_irv_1th_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-24T10:22:27.277Z	3.0.0	7			
BCS_India/te_irv_1ti_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-25T04:51:39.148Z	3.0.0	7			
BCS_India/te_irv_2co_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-23T05:21:10.571Z	3.0.0	7			
BCS_India/te_irv_2pe_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-12-01T12:41:05.230Z	3.0.0	7			
BCS_India/te_irv_2th_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-24T11:11:54.000Z	3.0.0	7			
BCS_India/te_irv_2ti_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-25T09:30:07.142Z	3.0.0	7			
BCS_India/te_irv_act_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-18T10:54:28.295Z	3.0.0	7			
BCS_India/te_irv_col_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-24T09:37:57.388Z	3.0.0	7			
BCS_India/te_irv_eph_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-23T09:24:33.332Z	3.0.0	7			
BCS_India/te_irv_gal_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-23T07:26:29.834Z	3.0.0	7			
BCS_India/te_irv_heb_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-12-02T10:50:13.302Z	3.0.0	7			
BCS_India/te_irv_jas_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-12-02T09:23:31.675Z	3.0.0	7			
BCS_India/te_irv_jhn_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-18T04:42:47.631Z	3.0.0	7			
BCS_India/te_irv_luk_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-16T06:12:09.887Z	3.0.0	7			
BCS_India/te_irv_mat_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-13T04:14:37.310Z	3.0.0	7			
BCS_India/te_irv_mrk_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-28T09:16:46.466Z	3.0.0	7			
BCS_India/te_irv_php_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-23T11:24:32.578Z	3.0.0	7			
BCS_India/te_irv_rev_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-25T11:33:11.828Z	3.0.0	7			
BCS_India/te_irv_rom_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0	en		0	en	v32	v0.13	2020-11-20T06:20:17.766Z	3.0.0	7			
Bhandari/te_reg_tit_book	2023-09-19T17:18:08.123Z	0			0			0				2021-09-20T12:46:21.530Z		7			
India_BCS/te_glt_2co_book		100	en	v0.30	99	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-04-22T14:12:02.399Z	3.4.0	8			
India_BCS/te_glt_mrk_book		100	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-02-27T09:17:22.521Z	3.4.0	8			
India_BCS/te_gst_mrk_book		99	en	v0.30	99	en	v0.30	99	en	v71_unfoldingWord	v0.30	2023-03-09T10:18:12.614Z	3.4.0	8			
India_BCS/te_irv_2jn_book	2023-09-19T17:18:08.123Z	100	en		0	en		0	en			2019-12-20T04:52:40.170Z	2.0.0	7			
India_BCS/te_irv_3jn_book	2023-09-19T17:18:08.123Z	100	en		0			0				2019-12-20T05:04:44.624Z	2.0.0	7			
India_BCS/te_irv_jud_book	2023-09-19T17:18:08.123Z	100	en		0			0				2019-12-20T05:13:06.812Z	2.0.0	7			
India_BCS/te_irv_phm_book	2023-09-19T17:18:08.123Z	100	en		0			0				2020-01-03T12:01:00.176Z	2.0.0	7			
India_BCS/te_irv_tit_book	2023-09-19T17:18:08.123Z	98	en		0			0				2020-01-03T11:55:55.924Z	2.0.0	7			
India_BCS/te_tglt_2co_book		100	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-04-22T14:12:02.399Z	3.4.0	8			
India_BCS/te_tglt_luk_book		100	en	v0.23	99	en	v0.23	99	en	v57	v0.22	2021-12-09T10:30:59.766Z	3.1.0	7	unmatched tn checks found, 		
India_BCS/te_tgst_2co_book		100	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-05-02T01:51:56.749Z	3.4.0	8			
India_BCS/te_tgst_luk_book		99	en	v0.22	77		v0.22	95				2022-03-29T07:34:54.082Z	3.1.0	7			
India_BCS/te_tgst_mrk_book		100	en	v0.30	99	en	v0.30	99	en	v71_unfoldingWord	v0.30	2023-03-09T10:18:12.614Z	3.4.0	8			
jinu/te_glt_mrk_book		100	en	v0.30	100	en	v0.30	99	en	v66_Door43-Catalog	v0.30	2023-02-27T09:17:22.521Z	3.4.0	8			
jinu/te_tglt_luk_book		100	en	v0.23	99	en	v0.23	99	en	v57	v0.22	2021-12-09T10:30:59.766Z	3.1.0	7	unmatched tn checks found, 		
Pradeep_Kaki/te_glt_1pe_book		96	en	v0.29	100	en	v0.24	100	en	v65_Door43-Catalog	v0.29	2022-10-25T12:01:48.445Z	3.4.0	8			
Pradeep_Kaki/te_glt_1th_book		99	en	v0.24	100	en	v0.24	100	en	v60	v0.24	2022-05-16T10:24:30.520Z	3.1.0	7	unmatched tn checks found, 		
Pradeep_Kaki/te_glt_col_book		100	en	v0.24	99	en	v0.24	99	en	v60	v0.24	2022-05-10T06:35:43.142Z	3.1.0	7			
Pradeep_Kaki/te_glt_jhn_book		99	en	v0.29	99	en	v0.24	90	en	v60_Door43-Catalog	v0.24	2022-08-16T16:33:33.416Z	3.4.0	8			
Pradeep_Kaki/te_gst_1th_book		100	en	v0.24	100	en	v0.24	99	en	v60	v0.24	2022-05-17T10:33:51.246Z	3.1.0	7	unmatched tn checks found, 		
Pradeep_Kaki/te_gst_2pe_book		100	en	v0.24	99	en	v0.24	99	en	v60	v0.24	2022-03-24T07:41:45.629Z	3.1.0	7			
Pradeep_Kaki/te_gst_jhn_book		99	en	v0.30	99	en	v0.30	99	en	v65_Door43-Catalog	v0.29	2022-09-15T08:08:03.849Z	3.4.0	8			
Pradeep_Kaki/te_gst_jud_book		100	en	v0.24	99	en	v0.24	100	en	v60	v0.24	2022-03-27T12:59:20.799Z	3.1.0	7			
Pradeep_Kaki/te_gst_phm_book		100	en	v0.24	100	en	v0.23	100	en	v57	v0.22	2022-03-27T11:20:19.904Z	3.1.0	7			
Pradeep_Kaki/te_tglt_1co_book		100	en	v0.30	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2023-02-02T11:18:54.275Z	3.4.0	8			
Pradeep_Kaki/te_tglt_1jn_book		100	en	v0.22	100	en	v0.22	89	en	v54	v0.22	2021-11-12T23:10:26.469Z	3.0.2	7			
Pradeep_Kaki/te_tglt_1pe_book		96	en	v0.29	100	en	v0.24	100	en	v65_Door43-Catalog	v0.29	2022-10-25T12:01:48.445Z	3.4.0	8			
Pradeep_Kaki/te_tglt_1ti_book	2023-09-19T17:18:08.123Z	99	en	v0.21	100	en	v0.21	99	en	v52	v0.21	2021-07-13T04:29:34.861Z	3.0.0	7	duplicate tn migrations found, unmatched tn checks found, 		
Pradeep_Kaki/te_tglt_2co_book		49	en	v0.30	99	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-04-22T14:12:02.399Z	3.4.0	8			
Pradeep_Kaki/te_tglt_2jn_book	2023-09-19T17:18:08.123Z	100	en	v0.21	100	en	v0.21	96	en	v52	v0.21	2021-06-30T06:29:45.542Z	3.0.0	7			
