Reference	Localized Group	Message	Selections	
figs-activepassive_2_11__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ఈ రోజు దావీదు యొక్క నగరంలో మీ కోసం ఒక రక్షకుడు జన్మించాడు, ఆయన ప్రభువు క్రీస్తు!-1	
figs-nominaladj_13_9__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	రానున్న కాలంలో-1	
figs-nominaladj_15_4__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	తప్పిపోయిన దాని-1	
figs-nominaladj_17_10__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	మీకు ఆజ్ఞాపింపబడిన సంగతులు-1	
figs-nominaladj_17_9__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ఆజ్ఞాపింపబడిన పనులు-1	
figs-nominaladj_19_10__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	నశించిన దానిని-1	
figs-nominaladj_23_47__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	జరిగిన సంగతి చూచి-1	
figs-nominaladj_23_48__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	జరిగిన కార్యములు చూచి,-1	
figs-nominaladj_24_18__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	దానిలో జరిగిన సంగతులు-1	
figs-nominaladj_24_44__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	నన్ను గురించి వ్రాయబడినవి అన్ని-1	
