Reference	Localized Group	Message	Selections	
figs-abstractnouns_2_10__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	వారు కూడా-1 క్రీస్తు యేసులో ఉన్న రక్షణ పొందుతారు.-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ఓర్పు,-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ఉద్దేశం-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	విశ్వాసం-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	సహనం-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ప్రేమ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ఓర్పు,-1	
figs-metaphor_4_4__1	Metaphor	unable to migrate selection, there are 2 similar checks	కల్పితకథల వైపుకు తొలగిపోతారు.-1	
figs-metaphor_4_4__1	Metaphor	unable to migrate selection, there are 2 similar checks	వాస్తవానికి సత్యం నుండి తమ చెవిని దూరంతిప్పుకొని-1 కల్పితకథల వైపుకు తొలగిపోతారు.-1	
figs-metonymy_1_13__1	Metonymy	unable to migrate selection, there are 2 similar checks	వాక్కుల యొక్క-1	
