Reference	Localized Group	Message	Selections	
figs-inclusive_1_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	మనలను-1	
figs-inclusive_1_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	మనల్ని-1	
figs-inclusive_2_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	మనలను-1	
figs-inclusive_2_12__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	మనకు-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	మన స్థానంలో-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	మనం జీవించాలని దేవుడు కోరుకున్న విధానంలో మనం జీవించడానికి స్వేచ్చగా ఉండగలం,-1	
figs-inclusive_2_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	మనలో ఎవరి గురించి అయినా-1	
figs-inclusive_3_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	మనవాళ్లు-1	
figs-inclusive_3_15__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	మనలను-1	
figs-inclusive_3_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	మన మట్టుకు మనం-1	
figs-inclusive_3_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	మనలను-2	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	మనల్ని-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	మనల్ని-1	
figs-metaphor_1_15__1	Metaphor	unable to migrate selection, no match found for check in new resources	క్రీస్తు యేసును విశ్వసించకుండా ఉన్నట్లయితే వాళ్ళు చేస్తున్న ప్రతీది చెడ్డదే.-1	
grammar-connect-logic-result_1_9__1	Connect – Reason-and-Result Relationship	unable to migrate selection, no match found for check in new resources	అతడు దీనిని చెయ్యాలి తద్వారా-1	
