Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
gamperukula/tel-x-gamperukula_1co_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_1jn_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_1pe_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_1th_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_1ti_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_2co_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_2jn_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_2pe_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_2th_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_2ti_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_3jn_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_col_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_eph_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_gal_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_heb_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_jas_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_jhn_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_jud_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_luk_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_mat_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_mrk_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_phm_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_php_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_reg_tit_book		0			0			0				2021-11-10T12:39:35.762Z		7			
gamperukula/tel-x-gamperukula_rev_text_reg		0			0			0									
gamperukula/tel-x-gamperukula_rom_text_reg		0			0			0									
