Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
ajayvardhan/tel-x-thalaboomi_reg_tit_book		0	en	v0.22	0			100	kn	v33.2	v0.8	2021-11-10T12:05:20.399Z	3.0.1	7	unmatched tn checks found, 		
murthy/tel-x-thalaboomi_1co_text_reg		0			0			0									
murthy/tel-x-thalaboomi_1jn_text_reg		0			0			0									
murthy/tel-x-thalaboomi_1pe_text_reg		0			0			0									
murthy/tel-x-thalaboomi_1th_text_reg		0			0			0									
murthy/tel-x-thalaboomi_1ti_text_reg		0			0			0									
murthy/tel-x-thalaboomi_2co_text_reg		0			0			0									
murthy/tel-x-thalaboomi_2jn_text_reg		0			0			0									
murthy/tel-x-thalaboomi_2pe_text_reg		0			0			0									
murthy/tel-x-thalaboomi_2th_text_reg		0			0			0									
murthy/tel-x-thalaboomi_2ti_text_reg		0			0			0									
murthy/tel-x-thalaboomi_3jn_text_reg		0			0			0									
murthy/tel-x-thalaboomi_col_text_reg		0			0			0									
murthy/tel-x-thalaboomi_eph_text_reg		0			0			0									
murthy/tel-x-thalaboomi_gal_text_reg		0			0			0									
murthy/tel-x-thalaboomi_heb_text_reg		0			0			0									
murthy/tel-x-thalaboomi_jas_text_reg		0			0			0									
murthy/tel-x-thalaboomi_jhn_text_reg		0			0			0									
murthy/tel-x-thalaboomi_jud_text_reg		0			0			0									
murthy/tel-x-thalaboomi_luk_text_reg		0			0			0									
murthy/tel-x-thalaboomi_mat_text_reg		0			0			0									
murthy/tel-x-thalaboomi_mrk_text_reg		0			0			0									
murthy/tel-x-thalaboomi_phm_text_reg		0			0			0									
murthy/tel-x-thalaboomi_php_text_reg		0			0			0									
murthy/tel-x-thalaboomi_rev_text_reg		0			0			0									
murthy/tel-x-thalaboomi_rom_text_reg		0			0			0									
murthy/tel-x-thalaboomi_tit_text_reg		0			0			0									
