Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
tc03/tpj_ulb_col_book	2021-12-26T16:00:27.487Z	0			0			0				2018-06-05T17:34:55.305Z		7			
tcnt/tpj_reg_1co_book	2021-12-26T16:00:27.487Z	0			0			0				2018-04-18T17:35:24.146Z		1			
tcnt/tpj_reg_2co_book	2021-12-26T16:00:27.487Z	0			0			0				2018-04-18T17:35:50.448Z		1			
tcnt/tpj_reg_2pe_book	2021-12-26T16:00:27.487Z	0			0			0				2018-04-18T17:43:05.106Z		1			
tcnt/tpj_reg_heb_book	2021-12-26T16:00:27.487Z	0			0			0				2018-04-18T17:41:26.091Z		1			
tcnt/tpj_reg_rev_book	2021-12-26T16:00:27.487Z	0			0			0				2018-04-18T17:45:58.896Z		1			
tcnt/tpj_reg_rom_book	2021-12-26T16:00:27.487Z	0			0			0				2018-04-18T17:34:57.108Z		1			
tcnt/tpj_ulb_1jn_book	2021-12-26T16:00:27.487Z	0			0			0				2018-04-18T17:43:38.037Z		1			
tcnt/tpj_ulb_1ti_book	2021-12-26T16:00:27.487Z	0			0			0				2018-04-18T17:39:18.349Z		1			
tcnt/tpj_ulb_2jn_book	2021-12-26T16:00:27.487Z	0			0			0				2018-04-18T17:44:12.713Z		1			
tcnt/tpj_ulb_2th_book	2021-12-26T16:00:27.487Z	0			0			0				2018-04-18T17:38:47.155Z		1			
tcnt/tpj_ulb_3jn_book	2021-12-26T16:00:27.487Z	0			0			0				2018-04-18T17:44:47.168Z		1			
tcnt/tpj_ulb_jas_book	2021-12-26T16:00:27.487Z	0			0			0				2018-04-18T17:41:56.722Z		1			
tcnt/tpj_ulb_jud_book	2021-12-26T16:00:27.487Z	0			0			0				2018-04-18T17:45:21.826Z		1			
