Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
BCS_India/ur_irv_1co_book	2022-01-10T14:37:20.312Z	68	en	v0.13	0			0				2020-12-03T11:59:16.724Z	3.0.0	7			
BCS_India/ur_irv_1th_book		100	en	v0.12	0	en		0	en	v26	v0.12	2020-05-26T08:55:29.283Z	2.1.1	7			
BCS_India/ur_irv_1ti_book	2022-01-10T14:37:20.312Z	100	en	v0.12	0			0				2020-05-31T12:46:38.156Z	2.1.1	7			
BCS_India/ur_irv_2co_book	2022-01-10T14:37:20.312Z	20	en	v0.13	0			0				2020-12-04T09:35:03.380Z	3.0.0	7			
BCS_India/ur_irv_2th_book	2022-01-10T14:37:20.312Z	100	en	v0.12	0			0				2020-05-29T08:07:51.132Z	2.1.1	7			
BCS_India/ur_irv_2ti_book	2022-01-10T14:37:20.312Z	100	en	v0.12	0			0				2020-06-17T06:17:39.717Z	2.1.1	7			
BCS_India/ur_irv_act_book	2022-01-10T14:37:20.312Z	25	en	v0.13	0			0				2020-12-03T11:50:28.211Z	3.0.0	7			
BCS_India/ur_irv_col_book	2022-01-10T14:37:20.312Z	21	en	v0.13	0			0				2020-12-04T09:29:43.688Z	3.0.0	7			
BCS_India/ur_irv_eph_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-12-05T10:43:41.808Z	3.0.0	7			
BCS_India/ur_irv_gal_book	2022-01-10T14:37:20.312Z	3	en	v0.13	0			0				2020-12-04T09:40:38.109Z	3.0.0	7			
BCS_India/ur_irv_jhn_book	2022-01-10T14:37:20.312Z	20	en	v0.13	0			0				2020-12-03T11:47:47.459Z	3.0.0	7			
BCS_India/ur_irv_luk_book	2022-01-10T14:37:20.312Z	18	en	v0.13	0			0				2020-12-03T11:43:22.489Z	3.0.0	7			
BCS_India/ur_irv_mat_book	2022-01-10T14:37:20.312Z	28	en	v0.13	0			0				2020-12-03T11:28:15.712Z	3.0.0	7			
BCS_India/ur_irv_mrk_book	2022-01-10T14:37:20.312Z	21	en	v0.13	0			0				2020-12-03T11:39:36.212Z	3.0.0	7			
BCS_India/ur_irv_php_book	2022-01-10T14:37:20.312Z	36	en	v0.13	0			0				2020-12-03T12:06:58.875Z	3.0.0	7			
BCS_India/ur_irv_rev_book	2022-01-10T14:37:20.312Z	13	en	v0.13	0			0				2020-12-03T12:11:44.350Z	3.0.0	7			
BCS_India/ur_irv_rom_book	2022-01-10T14:37:20.312Z	73	en	v0.13	0	en		0	en	v32	v0.13	2020-12-03T11:56:04.036Z	3.0.0	7			
India_BCS/ur_irv_1jn_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-12-08T11:47:13.884Z	3.0.0	7			
India_BCS/ur_irv_1pe_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-12-08T09:55:43.644Z	3.0.0	7			
India_BCS/ur_irv_1th_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-12-05T11:17:43.286Z	3.0.0	7			
India_BCS/ur_irv_1ti_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-12-07T12:26:27.906Z	3.0.0	7			
India_BCS/ur_irv_2jn_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-12-08T12:19:58.409Z	3.0.0	7			
India_BCS/ur_irv_2pe_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-12-08T11:26:42.143Z	3.0.0	7			
India_BCS/ur_irv_2th_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-12-07T11:49:21.950Z	3.0.0	7			
India_BCS/ur_irv_2ti_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-12-08T04:09:59.251Z	3.0.0	7			
India_BCS/ur_irv_3jn_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-12-08T12:25:19.846Z	3.0.0	7			
India_BCS/ur_irv_heb_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-12-08T05:13:36.926Z	3.0.0	7			
India_BCS/ur_irv_jas_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-12-08T09:15:35.818Z	3.0.0	7			
India_BCS/ur_irv_jud_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-12-08T12:32:48.012Z	3.0.0	7			
India_BCS/ur_irv_phm_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-12-08T05:03:50.499Z	3.0.0	7			
India_BCS/ur_irv_tit_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-12-08T04:47:54.223Z	3.0.0	7			
shojojohn/ur_irv_rom_book	2022-01-10T14:37:20.312Z	73	en	v0.14	0	en		0	en	v32	v0.13	2020-12-03T11:56:04.036Z	3.0.1	7			
