Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
HJ/vi_vilt_tit_book	2022-01-10T14:37:20.312Z	100	en	v0.13	100	en	v0.13	100	en	v32	v0.13	2020-10-12T13:46:47.881Z	3.0.0	7	unmatched tn checks found, 		
HJ/vi_vst_tit_book	2022-01-10T14:37:20.312Z	100	en	v0.13	100	en	v0.13	100	en	v32	v0.13	2020-09-19T01:38:22.017Z	3.0.0	7	unmatched tn checks found, 		
Joy18/avi_reg_tit_book		2			0			0				2018-12-10T21:50:28.423Z		7			
laithienthao/vi_ulba_tit_book	2022-01-10T14:37:20.312Z	0	en		0	en	v0.13	100	en	v32	v0.13	2020-08-23T14:27:48.444Z	3.0.0	7	unmatched tn checks found, 		
laithienthao/vi_ulbc_tit_book	2022-01-10T14:37:20.312Z	0	en		0			52	en	v33	v0.14	2020-08-23T14:27:48.444Z	3.0.0	7	unmatched tn checks found, 		
laithienthao/vi_ulbt_tit_book	2022-01-10T14:37:20.312Z	0	en		0			54	en	v32	v0.13	2020-08-23T14:27:48.444Z	3.0.0	7	unmatched tn checks found, 		
laithienthao/vi_vst_tit_book	2022-01-10T14:37:20.312Z	0	en	v0.13	99	en	v0.13	100	en	v32	v0.13	2020-09-19T01:38:22.017Z	3.0.0	7	unmatched tn checks found, 		
man_vgm/vi_ult_2jn_book	2022-01-10T14:37:20.312Z	100	en	v0.13	0			0				2020-09-19T16:10:35.162Z	3.0.1	7			
man_vgm/vi_vlt_1co_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T15:24:06.727Z	3.0.1	7			
man_vgm/vi_vlt_1jn_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T16:09:05.613Z	3.0.1	7			
man_vgm/vi_vlt_1pe_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T16:05:44.762Z	3.0.1	7			
man_vgm/vi_vlt_1th_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T15:49:11.318Z	3.0.1	7			
man_vgm/vi_vlt_1ti_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T15:52:31.927Z	3.0.1	7			
man_vgm/vi_vlt_2co_book	2022-01-10T14:37:20.312Z	99	en	v0.15	0			0				2020-09-19T15:30:32.885Z	3.0.1	7			
man_vgm/vi_vlt_2jn_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0	en	v32	v0.13	2020-09-19T16:10:35.162Z	3.0.1	7			
man_vgm/vi_vlt_2pe_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T16:07:41.042Z	3.0.1	7			
man_vgm/vi_vlt_2th_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T15:51:06.094Z	3.0.1	7			
man_vgm/vi_vlt_2ti_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T15:55:11.285Z	3.0.1	7			
man_vgm/vi_vlt_3jn_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T16:11:59.537Z	3.0.1	7			
man_vgm/vi_vlt_act_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T15:12:31.052Z	3.0.1	7			
man_vgm/vi_vlt_col_book	2022-01-10T14:37:20.312Z	100	en	v0.21	0			0				2020-09-19T15:47:37.065Z	3.0.1	7			
man_vgm/vi_vlt_eph_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T15:44:11.448Z	3.0.1	7			
man_vgm/vi_vlt_gal_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T15:35:16.312Z	3.0.1	7			
man_vgm/vi_vlt_heb_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T16:00:19.711Z	3.0.1	7			
man_vgm/vi_vlt_jas_book	2022-01-10T14:37:20.312Z	100	en	v0.21	0			0				2020-09-19T16:02:44.332Z	3.0.1	7			
man_vgm/vi_vlt_jhn_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-18T08:39:52.228Z	3.0.1	7			
man_vgm/vi_vlt_jud_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T16:13:42.150Z	3.0.1	7			
man_vgm/vi_vlt_luk_book	2022-01-10T14:37:20.312Z	100	en	v0.21	0			0				2020-09-19T05:57:20.706Z	3.0.1	7			
man_vgm/vi_vlt_mat_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0	en		0	en	v28	v0.12	2020-09-17T01:14:20.307Z	3.0.1	7			
man_vgm/vi_vlt_mrk_book	2022-01-10T14:37:20.312Z	100	en	v0.21	0			0				2020-09-19T05:09:03.600Z	3.0.1	7			
man_vgm/vi_vlt_phm_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T15:58:35.878Z	3.0.1	7			
man_vgm/vi_vlt_php_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T15:45:46.278Z	3.0.1	7			
man_vgm/vi_vlt_rev_book	2022-01-10T14:37:20.312Z	100	en	v0.15	0			0				2020-09-19T16:15:08.957Z	3.0.1	7			
man_vgm/vi_vlt_rom_book	2022-01-10T14:37:20.312Z	100	en	v0.21	0	en		0	en	v32	v0.13	2020-09-18T08:48:24.968Z	3.0.1	7			
man_vgm/vi_vlt_tit_book	2022-01-10T14:37:20.312Z	100	en	v0.21	94	en	v0.21	78	en	v52	v0.21	2020-10-12T13:46:47.881Z	3.0.1	7			
man_vgm/vi_volt_1ch_book		29	en	v2.1.23	0	hi		0				2020-12-16T08:28:47.558Z	3.0.2	7			
man_vgm/vi_volt_1ki_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0			0				2020-12-24T09:35:57.350Z	3.0.1	7			
man_vgm/vi_volt_1sa_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-15T10:10:28.260Z	3.0.1	7			
man_vgm/vi_volt_2ch_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-16T08:29:28.365Z	3.0.1	7			
man_vgm/vi_volt_2ki_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0			0				2020-12-24T09:36:28.933Z	3.0.1	7			
man_vgm/vi_volt_2sa_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-15T10:11:15.977Z	3.0.1	7			
man_vgm/vi_volt_amo_book	2022-01-10T14:37:20.312Z	1	en	v2.1.15	0	hi		0				2020-12-15T10:18:57.143Z	3.0.1	7			
man_vgm/vi_volt_dan_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-15T10:17:45.384Z	3.0.1	7			
man_vgm/vi_volt_deu_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-24T09:35:11.762Z	3.0.1	7			
man_vgm/vi_volt_ecc_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-15T10:14:28.660Z	3.0.1	7			
man_vgm/vi_volt_est_book	2022-01-10T14:37:20.312Z	100	en	v2.1.15	0			0	en	v36	v2.1.15	2020-12-07T03:26:05.331Z	3.0.1	7			
man_vgm/vi_volt_exo_book	2022-01-10T14:37:20.312Z	100	en	v2.1.15	0	hi	v2.1.15	0				2020-11-25T02:28:42.415Z	3.0.1	7			
man_vgm/vi_volt_ezk_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-15T10:16:59.864Z	3.0.1	7			
man_vgm/vi_volt_ezr_book	2022-01-10T14:37:20.312Z	100	en	v2.1.15	0			0	en	v36	v2.1.15	2020-12-07T03:24:27.975Z	3.0.1	7			
man_vgm/vi_volt_gen_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-15T10:08:53.842Z	3.0.1	7			
man_vgm/vi_volt_hab_book	2022-01-10T14:37:20.312Z	0	en		0	hi		0				2020-12-24T09:38:13.145Z	3.0.1	7			
man_vgm/vi_volt_hag_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-15T10:20:06.271Z	3.0.1	7			
man_vgm/vi_volt_hos_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-15T10:18:19.502Z	3.0.1	7			
man_vgm/vi_volt_isa_book	2022-01-10T14:37:20.312Z	99	en	v2.1.15	0	hi	v2.1.15	0				2020-12-15T10:15:37.806Z	3.0.1	7			
man_vgm/vi_volt_jdg_book	2022-01-10T14:37:20.312Z	100	en	v2.1.15	0			0				2020-12-07T03:23:16.831Z	3.0.1	7			
man_vgm/vi_volt_jer_book		48	en	v2.1.15	0	hi		0				2020-12-24T09:37:01.463Z	3.0.1	7			
man_vgm/vi_volt_job_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-15T10:11:55.438Z	3.0.1	7			
man_vgm/vi_volt_jol_book	2022-01-10T14:37:20.312Z	100	en	v2.1.15	0			0	en	v36	v2.1.15	2020-12-07T03:26:44.830Z	3.0.1	7			
man_vgm/vi_volt_jon_book	2022-01-10T14:37:20.312Z	100	en	v2.1.15	0			0	en	v36	v2.1.15	2020-11-26T04:57:30.521Z	3.0.1	7			
man_vgm/vi_volt_jos_book	2022-01-10T14:37:20.312Z	100	en	v2.1.15	0			0	en	v36	v2.1.15	2020-12-07T03:21:53.492Z	3.0.1	7			
man_vgm/vi_volt_lam_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-15T10:16:27.121Z	3.0.1	7			
man_vgm/vi_volt_lev_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0			0				2020-12-15T10:38:10.440Z	3.0.1	7			
man_vgm/vi_volt_mal_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-15T10:21:16.247Z	3.0.1	7			
man_vgm/vi_volt_mic_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi	v2.1.15	0				2020-12-24T09:37:43.030Z	3.0.1	7			
man_vgm/vi_volt_nam_book	2022-01-10T14:37:20.312Z	100	en	v2.1.15	0			0				2020-12-07T03:29:43.088Z	3.0.1	7			
man_vgm/vi_volt_neh_book	2022-01-10T14:37:20.312Z	100	en	v2.1.15	0			0	en	v36	v2.1.15	2020-12-07T03:25:23.631Z	3.0.1	7			
man_vgm/vi_volt_num_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0			0				2020-12-24T09:33:54.194Z	3.0.1	7			
man_vgm/vi_volt_oba_book	2022-01-10T14:37:20.312Z	100	en	v2.1.15	0			0	en	v36	v2.1.15	2020-12-07T03:28:27.634Z	3.0.1	7			
man_vgm/vi_volt_pro_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-15T10:13:45.312Z	3.0.1	7			
man_vgm/vi_volt_psa_book		80	en	v2.1.15	0	hi	v2.1.15	0				2020-12-15T10:12:38.410Z	3.0.1	7			
man_vgm/vi_volt_rut_book	2022-01-10T14:37:20.312Z	100	en	v2.1.15	0			0	en	v36	v2.1.15	2020-12-07T03:23:54.696Z	3.0.1	7			
man_vgm/vi_volt_sng_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-15T10:15:01.567Z	3.0.1	7			
man_vgm/vi_volt_zec_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-15T10:39:09.247Z	3.0.1	7			
man_vgm/vi_volt_zep_book	2022-01-10T14:37:20.312Z	0	en	v2.1.15	0	hi		0				2020-12-15T10:19:32.180Z	3.0.1	7			
man_vgm/vi_vts_col_book	2022-01-10T14:37:20.312Z	14	en	v0.15	0			0				2020-09-19T15:47:37.065Z	3.0.1	7			
man_vgm/vi_vts_exo_book	2022-01-10T14:37:20.312Z	90	en	v2.1.15	0	hi		0				2020-11-25T02:28:42.415Z	3.0.1	7			
man_vgm/vi_vts_jon_book	2022-01-10T14:37:20.312Z	92	en	v2.1.15	0			0	en	v36	v2.1.15	2020-11-26T04:57:30.521Z	3.0.1	7			
richmahn/vi_reg_mat_book	2022-01-10T14:37:20.312Z	1	en		0			0				2020-09-16T13:38:53.940Z	3.0.0	7			
richmahn/vi_ult_tit_book	2022-01-10T14:37:20.312Z	0			0			0				2020-09-15T18:21:21.213Z		7			
RichUser2/vi_tit_text_reg		0			0			0									
tc01/vi_ulb_tit_book	2022-01-10T14:37:20.312Z	0	en	v0.13	0	en	v0.13	0	en	v32	v0.13	2020-08-20T13:10:11.344Z	3.0.0	7			
uW_test_001/vi_vgst_tit_book	2022-01-10T14:37:20.312Z	0	en		0			0				2020-10-05T01:11:08.309Z	3.0.0	7			
VGM/vi_1ki_text_reg		0			0			0									
VGM/vi_1sa_text_reg		0			0			0									
VGM/vi_2ki_text_reg		0			0			0									
VGM/vi_2sa_text_reg		0			0			0									
VGM/vi_amo_text_reg		0			0			0									
VGM/vi_deu_text_reg		0			0			0									
VGM/vi_ezk_text_reg		0			0			0									
VGM/vi_hab_text_reg		0			0			0									
VGM/vi_jdg_text_reg		0			0			0									
VGM/vi_jhn_text_reg		0			0			0									
VGM/vi_jos_text_reg		0			0			0									
VGM/vi_lam_text_reg		0			0			0									
VGM/vi_lev_text_reg		0			0			0									
VGM/vi_mal_text_reg		0			0			0									
VGM/vi_num_text_reg		0			0			0									
VGM/vi_reg_1pe_book	2022-01-10T14:37:20.312Z	0	en		0	en		2	en	v32	v0.13	2020-09-18T04:47:53.675Z	3.0.0	7			
VGM/vi_reg_1th_book	2022-01-10T14:37:20.312Z	0			0			0				2020-09-18T09:11:49.307Z		7			
VGM/vi_reg_act_book	2022-01-10T14:37:20.312Z	0			0			0				2020-09-18T08:46:37.170Z		7			
VGM/vi_reg_eph_book	2022-01-10T14:37:20.312Z	0			0			0				2020-09-18T09:02:41.209Z		7			
VGM/vi_reg_jud_book	2022-01-10T14:37:20.312Z	0	en	v0.12	0	en	v0.12	0				2020-06-29T03:35:15.803Z	2.1.2	7			
VGM/vi_reg_lam_book	2022-01-10T14:37:20.312Z	0			0			0				2020-05-18T09:11:24.556Z		7			
VGM/vi_reg_php_book	2022-01-10T14:37:20.312Z	0			0			0				2020-09-18T09:06:19.822Z		7			
VGM/vi_rom_text_reg		0			0			0									
VGM/vi_ulb_act_book	2022-01-10T14:37:20.312Z	0			0			0				2020-09-18T10:31:26.517Z		7			
VGM/vi_ulb_gen_book	2022-01-10T14:37:20.312Z	0	en	v2.1.12	0			0				2020-05-18T09:31:30.071Z	2.1.2	7			
VGM/vi_ult_1co_book	2022-01-10T14:37:20.312Z	0	en	v0.13	0			0				2020-09-19T15:24:06.727Z	3.0.0	7			
VGM/vi_ult_1jn_book	2022-01-10T14:37:20.312Z	0	en		0			0				2020-09-19T16:09:05.613Z	3.0.0	7			
