Reference	Localized Group	Message	Selections	
figs-inclusive_1_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	của chúng ta-1	
figs-inclusive_1_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-2	
figs-inclusive_2_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-2	
figs-inclusive_2_12__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-2	
figs-inclusive_2_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-1	
figs-inclusive_3_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	Người của chúng ta-1	
figs-inclusive_3_15__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-1	
figs-inclusive_3_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-1	
figs-inclusive_3_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-2	
figs-metaphor_1_15__1	Metaphor	unable to migrate selection, no match found for check in new resources	đối với những kẻ ô uế và không tin vào Chúa Giê-xu, thì mọi thứ họ làm đều xấu cả-1	
grammar-connect-logic-result_1_9__1	Connect – Reason-and-Result Relationship	unable to migrate selection, no match found for check in new resources	để-1	
