Reference	Localized Group	Message	Selections	
figs-inclusive_1_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-1	
figs-inclusive_1_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-2	
figs-inclusive_2_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-2	
figs-inclusive_2_12__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	để giải phóng chúng ta khỏi bản chất gian ác của chúng ta-1	
figs-inclusive_2_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-1	
figs-inclusive_3_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	người của chúng ta-1	
figs-inclusive_3_15__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-2	
figs-inclusive_3_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-1 tất cả chúng ta-1	
figs-inclusive_3_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	mọi người-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	chúng ta-2	
figs-metaphor_1_15__1	Metaphor	unable to migrate selection, no match found for check in new resources	nếu một người gian ác và không tin nơi Chúa Cứu Thế Giê-xu, mọi sự đều khiến người đó bất khiết-1	
grammar-connect-logic-result_1_9__1	Connect – Reason-and-Result Relationship	unable to migrate selection, no match found for check in new resources	Người đó phải làm vậy để-1 và để-1	
