Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
shojojohn/yeu_yent_2jn_book		0	en		0			0				2021-10-14T12:06:03.060Z	3.0.1	7			
yarukala/yeu_1th_text_reg		0			0			0									
yarukala/yeu_1ti_text_reg		0			0			0									
yarukala/yeu_2th_text_reg		0			0			0									
yarukala/yeu_2ti_text_reg		0			0			0									
yerukula/yeu_1co_text_reg		0			0			0									
yerukula/yeu_1jn_text_reg		0			0			0									
yerukula/yeu_1pe_text_reg		0			0			0									
yerukula/yeu_1th_text_reg		0			0			0									
yerukula/yeu_1ti_text_reg		0			0			0									
yerukula/yeu_2co_text_reg		0			0			0									
yerukula/yeu_2jn_text_reg		0			0			0									
yerukula/yeu_2pe_text_reg		0			0			0									
yerukula/yeu_2th_text_reg		0			0			0									
yerukula/yeu_2ti_text_reg		0			0			0									
yerukula/yeu_3jn_text_reg		0			0			0									
yerukula/yeu_act_text_reg		0			0			0									
yerukula/yeu_col_text_reg		0			0			0									
yerukula/yeu_eph_text_reg		0			0			0									
yerukula/yeu_gal_text_reg		0			0			0									
yerukula/yeu_heb_text_reg		0			0			0									
yerukula/yeu_jas_text_reg		0			0			0									
yerukula/yeu_jhn_text_reg		0			0			0									
yerukula/yeu_jud_text_reg		0			0			0									
yerukula/yeu_luk_text_reg		0			0			0									
yerukula/yeu_mat_text_reg		0			0			0									
yerukula/yeu_mrk_text_reg		0			0			0									
yerukula/yeu_phm_text_reg		0			0			0									
yerukula/yeu_php_text_reg		0			0			0									
yerukula/yeu_rev_text_reg		0			0			0									
yerukula/yeu_rom_text_reg		0			0			0									
yerukula/yeu_tit_text_reg		0			0			0									
