Owner	Project	Language ID	Bible ID	Book ID	
Aaron.Shryock	en_ult_2jn_book	en	ult	2jn	
Aaron.Shryock	en_ult_2ti_book	en	ult	2ti	
Aaron.Shryock	en_ust_1jn_book	en	ust	1jn	
Aaron.Shryock	en_ust_1ti_book	en	ust	1ti	
Aaron.Shryock	en_ust_2jn_book	en	ust	2jn	
Aaron.Shryock	en_ust_2ti_book	en	ust	2ti	
Aaron.Shryock	fr_ult_tit_book	fr	ult	tit	
Aaron.Shryock	fr_ust_tit_book	fr	ust	tit	
Aaron.Shryock	mse_ult_1jn_book	mse	ult	1jn	
abelper8	es-419_glt_phm_book	es-419	glt	phm	
abelper8	es-419_tpl_jon_book	es-419	tpl	jon	
abelper8	es-419_tpl_phm_book	es-419	tpl	phm	
abelper8	es-419_tpl_tit_book	es-419	tpl	tit	
abelper8	es-419_tps_tit_book	es-419	tps	tit	
abelper8	es-419_ulb_2pe_book	es-419	ulb	2pe	
abelper8	es-419_ulb_jon_book	es-419	ulb	jon	
abelper8	es-419_ulb_phm_book	es-419	ulb	phm	
abelper8	es-419_ulb_tit_book	es-419	ulb	tit	
abelper8	id_ist_tit_book	id	ist	tit	
abelper8	pid_reg_tit_book	pid	reg	tit	
abelper8	pt-br_tla_3jn_book	pt-br	tla	3jn	
abelper8	pt-br_tlp_3jn_book	pt-br	tlp	3jn	
abelper8	pt-br_ulb_tit_book	pt-br	ulb	tit	
Ace_abby	ory_ogl_2co_book	ory	ogl	2co	
Ace_abby	ory_oglt_1co_book	ory	oglt	1co	
Ace_abby	ory_oglt_2co_book	ory	oglt	2co	
Ace_abby	ory_oglt_jhn_book	ory	oglt	jhn	
Ace_abby	ory_oglt_jon_book	ory	oglt	jon	
Ace_abby	ory_oglt_mrk_book	ory	oglt	mrk	
Ace_abby	ory_ogst_mrk_book	ory	ogst	mrk	
Ajaya_Singh	ory_ogst_2pe_book	ory	ogst	2pe	
Ajaya_Singh	ory_ogst_jud_book	ory	ogst	jud	
Ajaya_Singh	ory_ogst_phm_book	ory	ogst	phm	
ajayvardhan	tel-x-thalaboomi_reg_tit_book	tel-x-thalaboomi	reg	tit	
aleksey.ignashin	ru_rob_2jn_book	ru	rob	2jn	
aleksey.ignashin	ru_rsb_tit_book	ru	rsb	tit	
Amos.Khokhar	gu_gglt_1jn_book	gu	gglt	1jn	
Amos.Khokhar	gu_gglt_1pe_book	gu	gglt	1pe	
Amos.Khokhar	gu_gglt_2pe_book	gu	gglt	2pe	
Amos.Khokhar	gu_gglt_jhn_book	gu	gglt	jhn	
Amos.Khokhar	gu_gglt_jud_book	gu	gglt	jud	
Amos.Khokhar	gu_gglt_luk_book	gu	gglt	luk	
Amos.Khokhar	gu_gglt_phm_book	gu	gglt	phm	
Amos.Khokhar	gu_ggst_1pe_book	gu	ggst	1pe	
